trip_id,ambulance_id,start_time,distance_km,expected_duration_min,time_of_day,congestion_level,avg_speed_kmph,weather_condition,weather_severity,visibility_m,speed_drop_rate,delay_minutes,delay_cause,actual_duration_min,active_trip_time_min,availability_time_min
T1242,A20,07-09-2025 08:15,3.6,5.4,Night,Low,49.92,Clear,0,981,0.1697,0.31,No Delay,5.71,0.4,13.16
T1243,A5,12-09-2025 07:20,9.02,13.53,Evening Peak,High,17.3,Fog,2,300,0.5332,3.94,Incident,17.47,9.65,14.09
T1244,A1,13-09-2025 03:44,2.24,3.36,Evening Peak,Medium,32.85,Rain,1,591,0.347,1.7,Traffic,5.06,2.99,4.95
T1245,A41,28-09-2025 23:53,14.54,21.81,Evening Peak,High,24.93,Fog,2,257,0.1947,7.04,Traffic,28.85,3.13,35.38
T1246,A45,03-09-2025 03:03,24.56,36.84,Afternoon,High,6.89,Storm,3,177,1.0405,11.32,Incident,48.16,20.75,29.62
T1247,A30,27-09-2025 19:43,22.76,34.14,Evening Peak,Low,22.52,Fog,2,211,0.1033,6.4,Weather,40.54,33.89,10.12
T1248,A25,11-09-2025 15:55,16.15,24.22,Morning Peak,Medium,29.7,Clear,0,935,0.2114,11.07,Traffic,35.29,18.64,22.33
T1249,A15,25-09-2025 00:46,12.54,18.81,Morning Peak,High,13.28,Rain,1,508,0.5003,6.16,Incident,24.97,0.99,31.85
T1250,A1,30-09-2025 00:12,17.83,26.74,Evening Peak,Medium,27.89,Clear,0,915,0.7333,8.24,Incident,34.98,12.57,24.53
T1251,A2,20-09-2025 22:15,14.94,22.41,Evening Peak,Medium,8.45,Clear,0,726,0.628,7.78,Incident,30.19,20.62,13.58
T1252,A48,07-09-2025 19:04,24.32,36.48,Night,Medium,35.6,Fog,2,321,0.5063,7.97,Weather,44.45,16.76,33.43
T1253,A41,08-09-2025 05:51,2.4,3.6,Night,Low,44.89,Clear,0,859,0,0.19,No Delay,3.79,1.21,9.81
T1254,A1,05-09-2025 11:51,27.35,41.03,Morning Peak,Low,36.36,Clear,0,1046,0,2.14,No Delay,43.17,22.04,22.81
T1255,A34,29-09-2025 21:08,24.62,36.93,Evening Peak,High,27.56,Clear,0,867,0.0513,14.39,Traffic,51.32,10.87,47.19
T1256,A15,01-09-2025 00:02,21.48,32.22,Night,Medium,24.62,Rain,1,591,0.5203,18.32,Incident,50.54,2.42,55.83
T1257,A24,08-09-2025 19:17,11.14,16.71,Afternoon,High,14.6,Rain,1,582,0.8394,7.17,Incident,23.88,8.91,15.95
T1258,A10,28-09-2025 01:03,3.81,5.71,Morning Peak,Medium,34.6,Rain,1,457,0.1167,2.52,Traffic,8.23,0.55,11.07
T1259,A48,16-09-2025 14:59,8.83,13.25,Morning Peak,High,18.86,Fog,2,361,0.7977,3.82,Incident,17.07,0.87,19.06
T1260,A41,23-09-2025 00:50,17.08,25.62,Morning Peak,Low,40.27,Clear,0,984,0,-0.84,No Delay,24.78,2.26,28.93
T1261,A13,26-09-2025 03:32,22.67,34.01,Afternoon,Medium,34.67,Fog,2,214,0.2569,4.65,Weather,38.66,32.03,11.26
T1262,A28,09-09-2025 09:11,23.94,35.91,Night,Low,48.16,Fog,2,167,0.1176,6.11,Weather,42.02,31.9,13.87
T1263,A29,06-09-2025 03:29,9.04,13.56,Afternoon,Medium,20.94,Clear,0,862,0.093,6.42,Traffic,19.98,2.9,20.76
T1264,A45,26-09-2025 19:22,3.94,5.91,Night,Medium,28.11,Clear,0,817,0,0.31,No Delay,6.22,5.35,8.58
T1265,A45,23-09-2025 01:10,8.91,13.37,Night,Low,52.74,Clear,0,882,0.0123,0.5,No Delay,13.87,1.36,19.63
T1266,A43,09-09-2025 05:31,15.71,23.57,Night,Medium,34.26,Clear,0,919,0.0619,7.39,Traffic,30.96,9.21,27.78
T1267,A41,28-09-2025 08:57,4.52,6.78,Afternoon,Medium,34.09,Storm,3,160,0.251,1.57,Weather,8.35,1.05,10.53
T1268,A46,01-09-2025 16:08,25.65,38.48,Afternoon,High,17.11,Clear,0,892,0.384,17.88,Incident,56.36,31.81,28.76
T1269,A6,19-09-2025 08:59,20.49,30.73,Morning Peak,High,12.84,Fog,2,153,0.7782,11.38,Incident,42.11,1.36,45.26
T1270,A29,25-09-2025 03:49,7.96,11.94,Afternoon,Low,48.39,Clear,0,898,0.0785,-0.08,No Delay,11.86,1.31,19.36
T1271,A46,02-09-2025 07:39,4.07,6.11,Morning Peak,High,22.14,Rain,1,687,0.2296,1.97,Traffic,8.08,4.28,10.55
T1272,A42,09-09-2025 13:00,6.6,9.9,Afternoon,Low,23.6,Storm,3,133,0.5192,1.58,No Delay,11.48,0.73,15.55
T1273,A48,17-09-2025 13:45,19.62,29.43,Evening Peak,Low,34.41,Rain,1,398,0.1551,9.93,Weather,39.36,33.85,10.74
T1274,A30,11-09-2025 22:16,22.98,34.47,Morning Peak,Medium,27.16,Clear,0,766,0.1304,14.66,Traffic,49.13,2.36,53.18
T1275,A35,29-09-2025 09:58,5.27,7.9,Night,Low,26.24,Rain,1,440,0.3437,1.36,Weather,9.26,5.88,7.95
T1276,A10,02-09-2025 16:13,26.69,40.04,Night,Low,34.49,Storm,3,134,0.1843,6.58,Weather,46.62,32.78,19.81
T1277,A5,10-09-2025 02:53,8.65,12.97,Night,Low,28.48,Fog,2,241,0.5449,1.54,Weather,14.51,4.08,16.9
T1278,A21,03-09-2025 11:35,3.37,5.06,Night,High,18.91,Clear,0,917,0.7512,1.5,Incident,6.56,0.63,10.49
T1279,A28,08-09-2025 04:56,6.47,9.71,Night,Medium,36.53,Fog,2,238,0.2198,2.71,Weather,12.42,7.16,12.82
T1280,A49,09-09-2025 01:59,8.33,12.49,Night,Low,54.15,Clear,0,845,0.2094,0.35,No Delay,12.84,5.84,12.23
T1281,A47,18-09-2025 06:00,15.99,23.98,Morning Peak,Medium,18.63,Rain,1,418,0,5.25,Traffic,29.23,18.87,15.13
T1282,A50,08-09-2025 10:32,12.86,19.29,Morning Peak,High,18.85,Clear,0,985,0.3788,8.04,Traffic,27.33,20.57,10.35
T1283,A16,08-09-2025 01:23,9.33,14,Morning Peak,Medium,19.3,Clear,0,885,1.0061,5.93,Incident,19.93,11.61,16.23
T1284,A44,14-09-2025 11:38,5.3,7.95,Morning Peak,High,31.48,Rain,1,571,0.9201,4.1,Incident,12.05,3.31,13.62
T1285,A1,06-09-2025 06:04,11.81,17.71,Night,Low,44.52,Clear,0,939,0.0595,-0.53,No Delay,17.18,13.11,7.8
T1286,A9,28-09-2025 21:54,12.11,18.16,Morning Peak,High,15.71,Fog,2,232,0.2316,6.9,Weather,25.06,5.11,28.69
T1287,A28,19-09-2025 13:42,27.34,41.01,Morning Peak,High,41.21,Clear,0,1040,0.2512,16.06,Traffic,57.07,38.86,22.42
T1288,A44,28-09-2025 10:40,11.99,17.98,Night,Medium,51.22,Clear,0,1000,0,0.5,No Delay,18.48,0.44,25.51
T1289,A14,02-09-2025 21:42,10.64,15.96,Night,Low,46.86,Clear,0,910,0.0761,0.83,No Delay,16.79,14.34,7.96
T1290,A25,01-09-2025 20:21,17.18,25.77,Morning Peak,High,30.92,Clear,0,869,0.3962,8.68,Traffic,34.45,25.55,11.45
T1291,A12,18-09-2025 03:45,19.64,29.46,Evening Peak,High,20.34,Storm,3,132,1.3216,10.89,Incident,40.35,32.94,10.35
T1292,A13,14-09-2025 06:56,25.25,37.88,Afternoon,Low,47.13,Clear,0,987,0,-0.29,No Delay,37.59,11.08,28.86
T1293,A24,22-09-2025 07:13,22.72,34.08,Evening Peak,High,16.2,Fog,2,280,1.2014,18.43,Incident,52.51,29.24,25.54
T1294,A47,11-09-2025 20:02,24.54,36.81,Night,High,16.71,Clear,0,903,0.6685,12.41,Incident,49.22,9.57,41.49
T1295,A46,08-09-2025 14:18,16.28,24.42,Afternoon,High,30.25,Clear,0,934,1.0048,9.22,Incident,33.64,17.01,21.82
T1296,A23,13-09-2025 18:16,14.12,21.18,Evening Peak,High,12.54,Rain,1,442,0.5429,8.65,Incident,29.83,0.82,36.92
T1297,A22,14-09-2025 16:46,8.49,12.73,Night,Low,63.52,Clear,0,801,0.1074,0.62,No Delay,13.35,2.51,15.84
T1298,A30,08-09-2025 17:54,29.39,44.09,Morning Peak,Medium,23.78,Clear,0,903,0.2244,18.52,Traffic,62.61,2.28,70.53
T1299,A31,18-09-2025 10:01,24.97,37.45,Afternoon,Low,28.26,Fog,2,269,0.4244,11.66,Weather,49.11,38.91,13.44
T1300,A1,19-09-2025 22:31,26.73,40.09,Afternoon,Medium,32.56,Clear,0,982,0.3536,20.83,Traffic,60.92,32.55,32.2
T1301,A27,29-09-2025 11:15,10.42,15.63,Morning Peak,Low,22.43,Clear,0,975,0,0.78,No Delay,16.41,3.89,18.64
T1302,A21,24-09-2025 00:24,14.93,22.39,Morning Peak,High,23.64,Rain,1,630,0.1813,4.16,Traffic,26.55,16.56,13.68
T1303,A37,10-09-2025 02:06,18.33,27.49,Night,Low,29.91,Fog,2,220,0.2983,3.13,Weather,30.62,24.51,11.57
T1304,A26,21-09-2025 10:54,2.3,3.45,Night,High,26.53,Rain,1,431,0.8289,2.06,Incident,5.51,0.83,8.07
T1305,A19,10-09-2025 19:55,16.8,25.2,Evening Peak,Medium,21.68,Clear,0,792,0.8061,14.21,Incident,39.41,7.57,35.71
T1306,A3,13-09-2025 11:15,20.56,30.84,Evening Peak,Medium,30.46,Clear,0,895,0.3578,15.11,Traffic,45.95,10.31,45.77
T1307,A33,21-09-2025 05:24,13.68,20.52,Afternoon,High,27.53,Rain,1,540,0.5852,6.51,Traffic,27.03,21.88,6.81
T1308,A12,03-09-2025 12:11,27.74,41.61,Afternoon,High,11.69,Storm,3,130,1.1714,20.18,Incident,61.79,1.81,65.29
T1309,A28,10-09-2025 20:24,5.26,7.89,Night,Low,36.71,Clear,0,910,0,0.05,Weather,7.94,0.9,9.14
T1310,A29,19-09-2025 03:37,10.26,15.39,Afternoon,Medium,33.48,Clear,0,1045,0.2341,0.52,No Delay,15.91,9.64,12.65
T1311,A4,27-09-2025 05:50,8.28,12.42,Evening Peak,High,16.95,Clear,0,991,1.3515,3.63,Incident,16.05,9.7,11.68
T1312,A18,22-09-2025 12:08,6.72,10.08,Night,Low,54.39,Clear,0,873,0,0.31,No Delay,10.39,8.95,3.17
T1313,A50,23-09-2025 05:11,23.43,35.14,Afternoon,Low,29.72,Storm,3,204,0.3,8.91,Weather,44.05,27.83,18.7
T1314,A12,20-09-2025 02:20,25.93,38.89,Night,Low,43.32,Clear,0,1062,0.0719,2.13,No Delay,41.02,17.94,30.98
T1315,A38,23-09-2025 02:36,29.85,44.78,Afternoon,Low,44.17,Clear,0,894,0.0115,-1.05,No Delay,43.73,2.62,48.79
T1316,A24,22-09-2025 07:57,10.27,15.4,Morning Peak,Medium,31.17,Clear,0,887,0.2868,6.78,Traffic,22.18,17.13,9.08
T1317,A43,14-09-2025 07:45,3.39,5.08,Morning Peak,Low,40.16,Rain,1,560,0.6133,1.39,Weather,6.47,1.96,8.79
T1318,A26,01-09-2025 00:35,17.32,25.98,Afternoon,High,18,Fog,2,314,1.1524,8.14,Incident,34.12,8.62,33.68
T1319,A48,14-09-2025 22:26,26.63,39.95,Afternoon,Medium,28.3,Fog,2,347,0.2922,16.2,Weather,56.15,22.69,41.94
T1320,A16,30-09-2025 08:01,6.89,10.33,Night,Low,49.64,Clear,0,949,0,0.17,No Delay,10.5,9.11,4.94
T1321,A20,02-09-2025 06:31,8.42,12.63,Morning Peak,Medium,31.23,Rain,1,703,0.2048,5.36,Weather,17.99,0.92,21.35
T1322,A6,21-09-2025 09:03,24.51,36.77,Afternoon,Low,35.34,Rain,1,776,0.1287,10.29,Weather,47.06,9.73,49.07
T1323,A8,12-09-2025 20:07,4.03,6.04,Night,Low,50.19,Clear,0,879,0,-0.18,No Delay,5.86,0.54,7.85
T1324,A40,10-09-2025 20:20,6.7,10.05,Night,Low,32.48,Clear,0,929,0.0583,-0.28,No Delay,9.77,8.71,7.53
T1325,A43,18-09-2025 17:17,22.56,33.84,Evening Peak,High,25.97,Fog,2,239,0.1564,11.82,Traffic,45.66,13.5,34.82
T1326,A46,12-09-2025 14:46,26.14,39.21,Afternoon,Medium,21.16,Clear,0,752,0.7426,19.44,Incident,58.65,45.83,20
T1327,A10,06-09-2025 01:06,18.56,27.84,Night,Low,46.91,Clear,0,981,0.1508,1.37,No Delay,29.21,13.39,24.91
T1328,A42,22-09-2025 06:32,22.57,33.86,Night,Low,40.99,Clear,0,954,0.0354,0.72,No Delay,34.58,8.04,27.53
T1329,A33,13-09-2025 14:04,4.22,6.33,Night,Low,49.41,Clear,0,897,0,0.24,No Delay,6.57,4.24,5.62
T1330,A7,09-09-2025 21:42,25.91,38.87,Morning Peak,Medium,27.3,Rain,1,594,0,13.2,Traffic,52.07,5.41,52.15
T1331,A12,13-09-2025 03:46,13.61,20.41,Morning Peak,Medium,9.81,Clear,0,921,0.0175,5.49,Traffic,25.9,4.6,26.98
T1332,A45,27-09-2025 16:35,2.11,3.17,Morning Peak,Low,24.52,Rain,1,641,0.2133,1.28,Weather,4.45,0.6,8.73
T1333,A49,30-09-2025 01:54,12.59,18.88,Night,Low,48.85,Clear,0,877,0.0848,0.77,No Delay,19.65,2.34,22.55
T1334,A4,18-09-2025 13:44,15.26,22.89,Evening Peak,High,24.5,Rain,1,468,0.2467,10.29,Traffic,33.18,13.13,24.33
T1335,A40,19-09-2025 20:05,18.65,27.97,Evening Peak,High,24.1,Clear,0,864,0.3382,12.23,Traffic,40.2,2.04,40.65
T1336,A35,20-09-2025 16:29,20.52,30.78,Night,High,23.46,Storm,3,262,0.6221,12.65,Weather,43.43,25.85,20.84
T1337,A24,30-09-2025 17:22,2.53,3.79,Afternoon,Low,47.58,Clear,0,800,0,0.04,No Delay,3.83,0.36,7.6
T1338,A34,03-09-2025 19:15,22.35,33.53,Afternoon,Medium,23.27,Clear,0,926,0.9053,17.35,Incident,50.88,6.87,54.28
T1339,A28,05-09-2025 11:46,18.36,27.54,Morning Peak,Medium,27.92,Storm,3,208,0.3338,7.09,No Delay,34.63,21.37,18.48
T1340,A17,03-09-2025 12:21,13.91,20.87,Afternoon,Low,32.85,Storm,3,243,0.3422,6.48,Weather,27.35,24.08,10.86
T1341,A18,07-09-2025 12:19,20.04,30.06,Afternoon,Medium,18.91,Clear,0,949,0.0316,14.08,Traffic,44.14,28.69,19.43
T1342,A42,02-09-2025 11:33,28.84,43.26,Evening Peak,High,32.22,Clear,0,805,0.0139,18.43,Traffic,61.69,0.75,69.36
T1343,A26,09-09-2025 23:06,3.11,4.67,Evening Peak,High,36.02,Rain,1,597,0.1842,2.01,Weather,6.68,5.17,8.43
T1344,A12,04-09-2025 13:22,17.7,26.55,Night,Low,48.44,Clear,0,794,0.1766,0.47,No Delay,27.02,19.24,11.75
T1345,A3,25-09-2025 08:49,10.88,16.32,Afternoon,Medium,35.38,Rain,1,420,0.3905,4.16,Weather,20.48,12.39,13.66
T1346,A3,22-09-2025 19:37,29.45,44.17,Morning Peak,High,17.89,Storm,3,262,0.9948,22.13,Incident,66.3,32.8,40.55
T1347,A45,28-09-2025 10:13,10.29,15.43,Afternoon,High,26,Clear,0,863,0.1722,7.37,Traffic,22.8,18.61,9.04
T1348,A9,30-09-2025 10:47,18.42,27.63,Evening Peak,High,27.29,Clear,0,920,0.3898,10.75,Traffic,38.38,18.3,27.37
T1349,A35,13-09-2025 15:32,27.88,41.82,Afternoon,Low,35.2,Fog,2,219,0.2296,13.74,Weather,55.56,11.96,50.7
T1350,A3,26-09-2025 02:38,9.34,14.01,Morning Peak,Medium,19.27,Rain,1,467,0.3063,4.79,Traffic,18.8,2.82,24.98
T1351,A15,25-09-2025 07:00,8.94,13.41,Evening Peak,Medium,17.15,Fog,2,250,1.1841,5.3,Incident,18.71,5.74,19.17
T1352,A11,09-09-2025 01:24,18.89,28.34,Night,Low,21.97,Storm,3,248,0.4257,9.93,Weather,38.27,32.2,9.17
T1353,A47,05-09-2025 19:35,3.23,4.84,Evening Peak,High,39.48,Clear,0,926,0.3406,1.27,Traffic,6.11,5.44,7.68
T1354,A27,07-09-2025 05:16,10.56,15.84,Evening Peak,High,21.43,Fog,2,334,0.8148,6.73,Incident,22.57,0.36,29.59
T1355,A34,13-09-2025 17:51,2.96,4.44,Night,High,33.22,Rain,1,491,0.1661,1.84,Traffic,6.28,2.53,11.23
T1356,A46,12-09-2025 18:44,3.61,5.42,Evening Peak,High,29.77,Rain,1,701,0.751,1.56,Incident,6.98,0.35,12.95
T1357,A13,01-09-2025 16:19,3.02,4.53,Night,Low,31.22,Clear,0,863,0.0673,0.14,No Delay,4.67,4.02,4.62
T1358,A29,01-09-2025 15:05,11.09,16.63,Afternoon,High,33.49,Clear,0,992,0.0884,4.47,Traffic,21.1,11.46,16.21
T1359,A40,08-09-2025 12:33,25.71,38.57,Afternoon,Low,40.95,Clear,0,860,0,-0.06,Weather,38.51,6.27,36.31
T1360,A18,30-09-2025 00:53,3.87,5.8,Night,Medium,37.04,Clear,0,1065,0,-0.19,No Delay,5.61,3.47,7.45
T1361,A14,21-09-2025 13:16,10.48,15.72,Afternoon,Low,24.14,Fog,2,148,0.1299,4.42,Weather,20.14,12.39,12.36
T1362,A14,22-09-2025 07:59,23.43,35.14,Evening Peak,Medium,9.24,Clear,0,816,1.0067,20.03,Incident,55.17,10.09,48.95
T1363,A40,23-09-2025 10:44,9.34,14.01,Night,High,7.89,Clear,0,913,1.2136,7.21,Incident,21.22,7.77,16.98
T1364,A31,12-09-2025 01:33,16.72,25.08,Evening Peak,Low,49.73,Fog,2,222,0.1145,4.5,Weather,29.58,24.12,12.16
T1365,A12,22-09-2025 09:27,16.56,24.84,Morning Peak,Medium,47.62,Clear,0,909,0.3236,7.19,Traffic,32.03,5.99,29.69
T1366,A21,14-09-2025 05:26,26.16,39.24,Morning Peak,Low,43.1,Clear,0,914,0,-0.72,No Delay,38.52,6.02,38.23
T1367,A24,14-09-2025 05:38,6.27,9.4,Afternoon,Low,47.02,Clear,0,878,0.0425,0.17,No Delay,9.57,6.42,10.55
T1368,A47,25-09-2025 07:56,27.3,40.95,Morning Peak,Medium,32.73,Rain,1,693,0.2032,9.41,Traffic,50.36,34.65,22.37
T1369,A2,01-09-2025 22:39,11.79,17.68,Evening Peak,High,38.33,Storm,3,250,0.6424,7.51,Weather,25.19,10.47,18.62
T1370,A38,21-09-2025 16:42,16.2,24.3,Afternoon,Low,52.11,Clear,0,978,0,0.73,No Delay,25.03,19.48,7.75
T1371,A1,28-09-2025 00:39,17.28,25.92,Afternoon,Low,40.61,Clear,0,1001,0.0288,0.31,No Delay,26.23,20.15,10.74
T1372,A27,21-09-2025 06:46,5.63,8.44,Night,Low,39.04,Clear,0,883,0.068,-0.26,No Delay,8.18,1.75,13.38
T1373,A32,19-09-2025 21:02,7.89,11.83,Night,Low,49.93,Clear,0,888,0.0939,-0.13,No Delay,11.7,1.81,12.12
T1374,A15,03-09-2025 18:17,28.59,42.88,Night,High,12.58,Fog,2,352,0.9257,24.6,Traffic,67.48,22.35,52.25
T1375,A36,23-09-2025 21:02,7.72,11.58,Night,Low,41.15,Clear,0,811,0,0.21,No Delay,11.79,10.06,6.33
T1376,A42,07-09-2025 17:49,7.87,11.8,Morning Peak,Medium,32.5,Rain,1,602,0.4032,3.03,Traffic,14.83,13.3,5.98
T1377,A36,25-09-2025 05:19,24.02,36.03,Morning Peak,Medium,21.99,Rain,1,497,1.2506,19.99,Incident,56.02,49.93,10.37
T1378,A22,21-09-2025 13:57,3.41,5.12,Evening Peak,High,15.87,Fog,2,374,0.7808,2.94,Incident,8.06,3.49,9.82
T1379,A37,25-09-2025 00:48,24.63,36.95,Afternoon,High,7.31,Fog,2,314,0.6455,17.25,Incident,54.2,39.91,22.28
T1380,A16,05-09-2025 23:52,12.81,19.22,Morning Peak,High,11.76,Rain,1,557,0.7267,12.35,Incident,31.57,17.36,22.22
T1381,A43,07-09-2025 22:26,18.59,27.88,Morning Peak,High,22.91,Rain,1,729,0.3249,6.8,Traffic,34.68,10.59,27.01
T1382,A37,17-09-2025 08:15,22.07,33.1,Afternoon,Medium,51.96,Rain,1,619,0.5555,5.26,Weather,38.36,13.79,29.74
T1383,A28,27-09-2025 09:38,20.01,30.02,Night,Medium,50.76,Storm,3,304,0.3384,5.01,Weather,35.03,1.57,37.18
T1384,A9,24-09-2025 07:45,9.1,13.65,Night,Medium,34.05,Clear,0,885,0.2659,6.62,Traffic,20.27,8.52,17.6
T1385,A1,12-09-2025 10:58,8.26,12.39,Night,Medium,19.96,Fog,2,170,1.229,7.09,Incident,19.48,14.66,8.71
T1386,A30,13-09-2025 21:27,13.13,19.7,Morning Peak,Low,39.04,Clear,0,932,0.0732,1.07,No Delay,20.77,3.5,20.29
T1387,A28,11-09-2025 18:33,6.12,9.18,Morning Peak,High,29.04,Rain,1,546,0.063,3.3,Traffic,12.48,2.88,18.6
T1388,A33,02-09-2025 16:50,29.61,44.41,Night,High,10.34,Clear,0,1078,1.028,28.32,Incident,72.73,35.13,39.81
T1389,A38,17-09-2025 17:56,10.9,16.35,Morning Peak,Medium,30.1,Clear,0,883,0.1172,6.26,Traffic,22.61,17.52,11.91
T1390,A7,11-09-2025 23:38,14.83,22.25,Evening Peak,High,19.62,Fog,2,245,0.4242,6.01,Traffic,28.26,16.05,15.81
T1391,A47,02-09-2025 03:48,22.83,34.24,Morning Peak,High,22.26,Rain,1,498,0.17,7.53,Traffic,41.77,29.85,17.11
T1392,A27,28-09-2025 07:25,25.41,38.12,Night,Low,39.91,Clear,0,1057,0.2296,0.18,No Delay,38.3,23.79,22.07
T1393,A1,28-09-2025 20:11,24.86,37.29,Afternoon,Medium,43.76,Fog,2,326,0.4842,14.15,Weather,51.44,26.69,30.98
T1394,A50,06-09-2025 18:29,13.95,20.93,Night,Low,45.65,Clear,0,881,0,1.04,No Delay,21.97,10.55,14.85
T1395,A21,19-09-2025 18:15,25.42,38.13,Afternoon,High,9.27,Clear,0,806,0.8928,14.7,Incident,52.83,28.28,30.61
T1396,A5,15-09-2025 00:34,9.09,13.63,Evening Peak,High,15.12,Storm,3,232,0.8316,7.03,Incident,20.66,3.09,26.25
T1397,A20,08-09-2025 06:39,19.91,29.87,Evening Peak,High,39.73,Clear,0,942,0.2122,15.45,Traffic,45.32,32.85,18.07
T1398,A19,05-09-2025 00:42,9.36,14.04,Evening Peak,High,9.52,Storm,3,171,0.5595,4.58,Incident,18.62,6.78,13.74
T1399,A8,20-09-2025 21:46,18.04,27.06,Morning Peak,Medium,29.73,Rain,1,599,0.2868,9.99,Traffic,37.05,3.9,34.96
T1400,A41,17-09-2025 10:29,20.72,31.08,Morning Peak,High,25.01,Clear,0,1096,0.2866,11.15,Traffic,42.23,23.94,21.85
T1401,A50,02-09-2025 10:22,11.58,17.37,Morning Peak,High,25.31,Rain,1,707,0.2088,6.48,Traffic,23.85,12.94,18
T1402,A35,01-09-2025 15:44,14.95,22.42,Afternoon,High,23.7,Clear,0,854,0.9326,12.95,Incident,35.37,23.25,19.29
T1403,A10,09-09-2025 21:02,15.4,23.1,Night,High,38.03,Rain,1,649,0.2516,9.23,Traffic,32.33,0.38,36.97
T1404,A21,24-09-2025 17:10,11.41,17.12,Afternoon,Low,36.11,Clear,0,976,0.0163,0.04,No Delay,17.16,13.64,8.54
T1405,A17,12-09-2025 04:19,21.34,32.01,Night,Medium,21.76,Rain,1,614,0.3515,16.64,Traffic,48.65,36.44,15.18
T1406,A34,20-09-2025 00:55,15.3,22.95,Morning Peak,Medium,5.58,Rain,1,489,1.1296,14.49,Incident,37.44,23.35,22.4
T1407,A21,03-09-2025 22:03,2.84,4.26,Morning Peak,High,23.25,Rain,1,684,0,1.64,Traffic,5.9,1.27,8.47
T1408,A9,29-09-2025 18:19,23.63,35.45,Afternoon,High,16.94,Clear,0,894,0.983,23.04,Incident,58.49,29.9,32.97
T1409,A11,22-09-2025 12:54,18.82,28.23,Afternoon,Low,39.57,Clear,0,966,0.1037,0.78,No Delay,29.01,18.04,16.72
T1410,A14,03-09-2025 13:25,2.58,3.87,Morning Peak,High,25.17,Clear,0,901,1.0783,1.3,Incident,5.17,1.71,7.41
T1411,A2,02-09-2025 05:08,10.08,15.12,Morning Peak,Low,24.41,Storm,3,180,0.0819,2.88,Weather,18,16,10.54
T1412,A32,22-09-2025 20:51,3.84,5.76,Afternoon,Low,37.92,Clear,0,832,0,-0.18,No Delay,5.58,2.67,10.13
T1413,A27,05-09-2025 22:46,3.24,4.86,Afternoon,Medium,46.13,Storm,3,128,0.2331,1.42,Weather,6.28,0.46,10.43
T1414,A32,23-09-2025 16:12,17.98,26.97,Morning Peak,Medium,32.19,Clear,0,848,0.2086,10.15,Traffic,37.12,6.16,35.81
T1415,A18,24-09-2025 19:51,19.03,28.55,Evening Peak,High,18.73,Clear,0,958,0.1028,10.38,Traffic,38.93,11.01,35.12
T1416,A49,10-09-2025 12:52,9.13,13.7,Evening Peak,Low,36.27,Clear,0,863,0.2287,0.58,No Delay,14.28,1.67,19.05
T1417,A18,10-09-2025 17:42,5.66,8.49,Morning Peak,High,33.56,Clear,0,977,0.1386,2.58,Traffic,11.07,8.47,6.49
T1418,A17,04-09-2025 21:54,15.22,22.83,Afternoon,Medium,40.64,Storm,3,258,0.2748,4.79,Weather,27.62,7.93,24.51
T1419,A22,14-09-2025 21:44,15.12,22.68,Evening Peak,Medium,29.19,Clear,0,894,0.3304,8.26,Traffic,30.94,16.87,18.15
T1420,A1,02-09-2025 06:53,20.76,31.14,Morning Peak,Medium,53.55,Clear,0,899,0.1118,1.79,No Delay,32.93,24.69,15.38
T1421,A32,10-09-2025 02:02,16.92,25.38,Afternoon,High,33.36,Storm,3,185,0,7.16,Weather,32.54,25.19,12.07
T1422,A25,04-09-2025 00:24,6.17,9.25,Morning Peak,Low,45.67,Storm,3,247,0.0316,4.01,Weather,13.26,8.82,11.56
T1423,A17,05-09-2025 09:03,5.05,7.58,Afternoon,Low,45.77,Clear,0,765,0.0546,-0.23,No Delay,7.35,4.31,7.97
T1424,A29,01-09-2025 10:11,3.29,4.94,Evening Peak,High,29.42,Clear,0,814,0.2985,1.18,Traffic,6.12,3.73,7.3
T1425,A30,16-09-2025 06:08,24.59,36.88,Afternoon,High,15.57,Rain,1,481,0.8913,18.13,Incident,55.01,35.02,23.26
T1426,A10,19-09-2025 16:59,12.73,19.1,Afternoon,Low,33.85,Clear,0,1032,0,-0.02,Weather,19.08,9.43,15.34
T1427,A18,24-09-2025 03:11,22.48,33.72,Night,Low,49.38,Clear,0,894,0,1.92,No Delay,35.64,19.5,20.28
T1428,A50,06-09-2025 10:30,18.68,28.02,Morning Peak,High,19.21,Storm,3,233,0.269,4.6,Weather,32.62,3.72,30.66
T1429,A9,28-09-2025 04:12,26.53,39.8,Evening Peak,High,44.08,Clear,0,913,0.2126,8.35,Traffic,48.15,19.09,35.62
T1430,A37,05-09-2025 23:37,25.12,37.68,Night,High,22.87,Fog,2,208,0.6249,15.5,Weather,53.18,31.8,24.6
T1431,A2,26-09-2025 14:24,18.91,28.37,Night,Low,57.16,Clear,0,839,0.0715,0.9,No Delay,29.27,15.54,19.66
T1432,A13,17-09-2025 04:08,3.77,5.66,Morning Peak,Medium,39.32,Fog,2,165,0.5897,1.23,Weather,6.89,3.33,9.04
T1433,A50,28-09-2025 12:54,28.82,43.23,Afternoon,Medium,22.86,Clear,0,922,0.2829,12.28,Traffic,55.51,28.75,33.45
T1434,A45,30-09-2025 05:55,28.08,42.12,Afternoon,Low,46.97,Clear,0,1044,0.0167,-0.34,No Delay,41.78,15.51,32.82
